product_id,product_name,product_price,category,discount,store_id,store_name
1,Bamity,$76.03,Economia,48,1,Centimia
2,Matsoft,$98.86,Gubernamental,4,2,Twitterwire
3,Tin,$95.07,Salud,23,3,Layo
4,Tampflex,$42.49,Gubernamental,28,4,Buzzshare
5,Viva,$82.51,Economia,29,5,Tagtune
6,Konklux,$76.29,Turismo,49,6,Wordware
7,Trippledex,$38.22,Empresarial,70,7,Dazzlesphere
8,Aerified,$33.40,Educacion,36,8,Jetwire
9,Flexidy,$89.65,Salud,56,9,Twitterlist
10,Wrapsafe,$20.17,Economia,57,10,Mybuzz
11,Temp,$16.46,Tecnologia,33,11,Leexo
12,Tin,$40.07,Gubernamental,9,12,Muxo
13,Biodex,$39.53,Social,58,13,Kare
14,Namfix,$53.92,Economia,42,14,Topdrive
15,Sonair,$18.23,Salud,5,15,Jabbertype
16,Wrapsafe,$67.18,Empresarial,34,16,Kaymbo
17,Sub-Ex,$56.04,Educacion,37,17,Meeveo
18,Fintone,$91.26,Turismo,44,18,Buzzdog
19,Subin,$9.77,Turismo,6,19,Blogtag
20,Aerified,$43.61,Empresarial,60,20,Agivu
21,Duobam,$38.18,Deporte,1,21,Babbleopia
22,Vagram,$34.06,Salud,17,22,Camimbo
23,Lotlux,$84.34,Social,71,23,Yacero
24,Zathin,$29.45,Deporte,65,24,Innojam
25,Tresom,$5.49,Tecnologia,48,25,Edgeclub
26,Fintone,$62.35,Mecanica,13,26,Trudoo
27,Cardguard,$19.56,Deporte,30,27,Livefish
28,Cardify,$55.40,Educacion,59,28,Quaxo
29,Stronghold,$34.23,Gubernamental,59,29,Dabshots
30,Fintone,$98.40,Economia,14,30,Quinu
31,Andalax,$78.33,Deporte,72,31,Riffwire
32,Gembucket,$51.82,Educacion,48,32,Photobean
33,Wrapsafe,$64.44,Deporte,38,33,Kazu
34,Job,$72.18,Economia,50,34,Browsetype
35,Cardguard,$44.62,Empresarial,17,35,Fivespan
36,Fintone,$97.97,Salud,7,36,Agimba
37,Toughjoyfax,$63.94,Deporte,70,37,Skiba
38,Namfix,$12.72,Empresarial,60,38,Divanoodle
39,Latlux,$67.49,Social,51,39,Skyble
40,Treeflex,$53.30,Turismo,16,40,Devify
41,Otcom,$19.36,Mecanica,62,41,Centimia
42,Tampflex,$69.01,Tecnologia,36,42,Quatz
43,Fintone,$63.42,Deporte,22,43,Devbug
44,Lotlux,$20.17,Salud,4,44,Kamba
45,Konklux,$28.01,Turismo,21,45,Omba
46,Namfix,$43.46,Turismo,30,46,Eamia
47,Stronghold,$25.80,Deporte,47,47,Tanoodle
48,Mat Lam Tam,$78.00,Social,59,48,Tazz
49,Zontrax,$97.15,Mecanica,60,49,Shuffletag
50,Tampflex,$19.90,Tecnologia,14,50,Kazu
51,Sonair,$2.56,Mecanica,75,51,Flashset
52,Flowdesk,$44.19,Gubernamental,24,52,Muxo
53,Zaam-Dox,$20.95,Gubernamental,48,53,Roodel
54,Trippledex,$97.81,Mecanica,61,54,Myworks
55,Temp,$92.34,Empresarial,66,55,Babbleblab
56,Rank,$23.89,Deporte,64,56,Buzzbean
57,Alpha,$23.81,Salud,58,57,Meemm
58,Sub-Ex,$55.75,Gubernamental,73,58,Meevee
59,It,$30.50,Turismo,54,59,Vidoo
60,Veribet,$58.23,Tecnologia,69,60,Rhybox
61,Otcom,$16.79,Social,73,61,Jetwire
62,Opela,$92.65,Tecnologia,19,62,Wordpedia
63,Kanlam,$43.92,Social,14,63,Topdrive
64,Fix San,$83.60,Deporte,59,64,Riffwire
65,Cardify,$41.00,Mecanica,10,65,Brainsphere
66,Gembucket,$25.11,Tecnologia,48,66,Zazio
67,It,$24.07,Empresarial,38,67,Chatterbridge
68,Cardify,$60.82,Salud,61,68,Dabshots
69,Subin,$96.70,Deporte,44,69,Riffpath
70,Zathin,$60.65,Mecanica,47,70,Twinte
71,Greenlam,$12.11,Salud,17,71,Eayo
72,Redhold,$36.10,Empresarial,48,72,Thoughtbridge
73,Bitchip,$33.93,Economia,29,73,Plambee
74,Mat Lam Tam,$9.39,Educacion,17,74,Abata
75,Job,$91.08,Economia,38,75,Linkbridge
76,Fix San,$38.82,Educacion,61,76,Divape
77,Gembucket,$3.64,Empresarial,60,77,Mudo
78,Zoolab,$66.22,Mecanica,64,78,Fliptune
79,Tin,$5.44,Economia,37,79,Viva
80,Zamit,$25.45,Educacion,5,80,Gigashots
81,Ventosanzap,$2.08,Social,20,81,Twitterwire
82,Home Ing,$8.68,Educacion,36,82,Livefish
83,Bitchip,$51.92,Deporte,74,83,Buzzster
84,Wrapsafe,$9.94,Educacion,33,84,Tazzy
85,Sonsing,$98.07,Empresarial,5,85,Flipstorm
86,Biodex,$90.87,Deporte,61,86,Wordpedia
87,Solarbreeze,$78.27,Empresarial,56,87,Jayo
88,Pannier,$44.01,Mecanica,60,88,Yamia
89,Voyatouch,$69.05,Salud,51,89,Thoughtmix
90,Daltfresh,$3.83,Mecanica,43,90,Quatz
91,Treeflex,$96.52,Empresarial,25,91,Eare
92,Zoolab,$87.76,Empresarial,17,92,Realbuzz
93,Tres-Zap,$17.25,Tecnologia,39,93,Omba
94,Zaam-Dox,$4.35,Social,32,94,Yodo
95,Cardify,$93.80,Deporte,1,95,Lajo
96,Rank,$36.89,Educacion,58,96,Midel
97,Keylex,$25.03,Turismo,62,97,Gabvine
98,Zamit,$60.65,Tecnologia,16,98,Brainlounge
99,Temp,$95.67,Mecanica,23,99,Dabtype
100,Quo Lux,$53.66,Educacion,74,100,Nlounge
101,Ronstring,$18.91,Educacion,40,101,Brainsphere
102,Keylex,$98.65,Deporte,74,102,Vinte
103,Temp,$76.47,Educacion,30,103,Feedfire
104,Biodex,$1.23,Economia,34,104,Ntags
105,Cookley,$39.16,Mecanica,31,105,Feedbug
106,It,$47.02,Social,33,106,Cogibox
107,Y-find,$17.15,Social,65,107,Abatz
108,Bitwolf,$95.58,Mecanica,71,108,Wordpedia
109,Tin,$53.56,Tecnologia,56,109,Twiyo
110,Fintone,$96.32,Gubernamental,69,110,Twitterwire
111,Bytecard,$53.41,Tecnologia,56,111,Yakitri
112,Y-Solowarm,$83.64,Gubernamental,41,112,Rhybox
113,Tres-Zap,$97.27,Educacion,71,113,Kwideo
114,Toughjoyfax,$0.90,Salud,48,114,Flipbug
115,Alpha,$28.68,Educacion,15,115,Katz
116,Gembucket,$79.72,Economia,60,116,Abata
117,Tresom,$47.36,Economia,10,117,Kwimbee
118,Latlux,$81.69,Salud,48,118,Realmix
119,Stronghold,$14.57,Educacion,55,119,Aivee
120,Flexidy,$14.12,Tecnologia,3,120,Yakitri
121,Flowdesk,$79.45,Educacion,44,121,Dynabox
122,Kanlam,$19.02,Turismo,49,122,Dynabox
123,Holdlamis,$21.69,Tecnologia,72,123,Babbleopia
124,Bamity,$5.40,Tecnologia,42,124,Dabtype
125,Tres-Zap,$69.80,Mecanica,11,125,LiveZ
126,Transcof,$53.92,Tecnologia,1,126,Tagopia
127,Cardify,$75.74,Turismo,10,127,Quinu
128,Konklab,$35.31,Turismo,64,128,Wikizz
129,Sonair,$70.94,Gubernamental,29,129,Jaxspan
130,Matsoft,$11.86,Deporte,32,130,Agivu
131,Solarbreeze,$76.84,Mecanica,26,131,Yodo
132,Stringtough,$23.88,Economia,22,132,Shuffletag
133,Wrapsafe,$25.33,Social,7,133,Skynoodle
134,Y-find,$69.62,Empresarial,27,134,Reallinks
135,Ventosanzap,$45.65,Turismo,28,135,Rhybox
136,Temp,$7.59,Economia,49,136,Fivespan
137,Veribet,$5.07,Economia,72,137,BlogXS
138,Cardguard,$61.37,Salud,62,138,Devbug
139,Wrapsafe,$25.87,Mecanica,21,139,Skipstorm
140,Konklux,$63.79,Economia,1,140,Tagpad
141,Solarbreeze,$26.01,Turismo,8,141,Feednation
142,Lotstring,$58.76,Tecnologia,20,142,Skipfire
143,Voyatouch,$92.35,Deporte,34,143,Twinte
144,Alphazap,$26.19,Tecnologia,39,144,Katz
145,Subin,$14.09,Social,68,145,Jabberbean
146,Tin,$10.99,Mecanica,7,146,Tekfly
147,Matsoft,$13.22,Gubernamental,42,147,Voolia
148,Ventosanzap,$56.01,Tecnologia,42,148,Yodo
149,Redhold,$71.26,Tecnologia,25,149,Yamia
150,Overhold,$0.80,Empresarial,46,150,Photospace
151,Zamit,$39.14,Deporte,26,151,Yoveo
152,Andalax,$90.22,Educacion,65,152,Skinte
153,Voyatouch,$95.86,Economia,69,153,Mycat
154,Alpha,$1.45,Mecanica,31,154,Abatz
155,Otcom,$77.21,Educacion,26,155,Jatri
156,Tresom,$29.21,Economia,31,156,Podcat
157,Viva,$35.63,Turismo,73,157,Digitube
158,Cookley,$39.01,Salud,4,158,Edgewire
159,Sonair,$14.70,Economia,18,159,Kanoodle
